lr,rv,,,,,,,,,,,,,,,,,,,,,
0.64951134,0.188225563,,,,,,,,,,,,,,,,,,,,,
-0.982761988,0.255044596,,,,,,,,,,,,,,,,,,,,,
-0.34822483,0.361244109,,,,,,,,,,,,,,,,,,,,,
-0.14795866,0.024269667,,,,,,,,,,,,,,,,,,,,,
0.154118856,0.242345135,,,,,,,,,,,,,,,,,,,,,
-0.391154403,0.312058097,,,,,,,,,,,,,,,,,,,,,
-0.417527438,0.305660322,,,,,,,,,,,,,,,,,,,,,
0.003104963,0.296838352,,,,,,,,,,,,,,,,,,,,,
-0.342904132,0.224199543,,,,,,,,,,,,,,,,,,,,,
-0.06311041,0.023825351,,,,,,,,,,,,,,,,,,,,,
0.464214761,0.159788561,,,,,,,,,,,,,,,,,,,,,
0.228592782,0.235481056,,,,,,,,,,,,,,,,,,,,,
-0.603218207,0.529857958,,,,,,,,,,,,,,,,,,,,,
0.626435685,0.318295749,,,,,,,,,,,,,,,,,,,,,
-0.00773856,0.295706887,,,,,,,,,,,,,,,,,,,,,
0.107512338,0.01226322,,,,,,,,,,,,,,,,,,,,,
-0.013915948,0.05963234,,,,,,,,,,,,,,,,,,,,,
-0.693606728,0.273049655,,,,,,,,,,,,,,,,,,,,,
0.790977719,0.336493936,,,,,,,,,,,,,,,,,,,,,
0.734177006,0.330518779,,,,,,,,,,,,,,,,,,,,,
-0.389504624,0.293915435,,,,,,,,,,,,,,,,,,,,,
0.023089889,0.013054938,,,,,,,,,,,,,,,,,,,,,
0.584702755,0.460273526,,,,,,,,,,,,,,,,,,,,,
0.008415609,0.223677656,,,,,,,,,,,,,,,,,,,,,
0.11468768,0.321092863,,,,,,,,,,,,,,,,,,,,,
1.183508694,0.605672432,,,,,,,,,,,,,,,,,,,,,
-0.193506996,0.43734682,,,,,,,,,,,,,,,,,,,,,
-0.108255023,0.05396497,,,,,,,,,,,,,,,,,,,,,
0.381021961,0.164417253,,,,,,,,,,,,,,,,,,,,,
0.446454521,0.310727923,,,,,,,,,,,,,,,,,,,,,
0.237846142,0.210436246,,,,,,,,,,,,,,,,,,,,,
0.11085147,0.350913373,,,,,,,,,,,,,,,,,,,,,
-0.117596403,0.124841604,,,,,,,,,,,,,,,,,,,,,
0.087648662,0.009139227,,,,,,,,,,,,,,,,,,,,,
0.054647878,0.144226599,,,,,,,,,,,,,,,,,,,,,
0.231734222,0.278109448,,,,,,,,,,,,,,,,,,,,,
-0.833756789,0.35845698,,,,,,,,,,,,,,,,,,,,,
-0.408159213,0.516807758,,,,,,,,,,,,,,,,,,,,,
-0.805344953,0.264939927,,,,,,,,,,,,,,,,,,,,,
-0.113618612,0.042844516,,,,,,,,,,,,,,,,,,,,,
0.216450301,0.32675642,,,,,,,,,,,,,,,,,,,,,
-0.45554689,0.213870268,,,,,,,,,,,,,,,,,,,,,
-0.453021874,0.242629809,,,,,,,,,,,,,,,,,,,,,
0.152769651,0.184317298,,,,,,,,,,,,,,,,,,,,,
-0.216556681,0.207877768,,,,,,,,,,,,,,,,,,,,,
0.000768761,0.006054163,,,,,,,,,,,,,,,,,,,,,
0.459428862,0.142950119,,,,,,,,,,,,,,,,,,,,,
-0.714982675,0.189220399,,,,,,,,,,,,,,,,,,,,,
0.353906415,0.304132934,,,,,,,,,,,,,,,,,,,,,
-0.991008836,0.408592611,,,,,,,,,,,,,,,,,,,,,
-0.497652733,0.237725631,,,,,,,,,,,,,,,,,,,,,
-0.121679188,0.024075139,,,,,,,,,,,,,,,,,,,,,
0.372370276,0.102748533,,,,,,,,,,,,,,,,,,,,,
-0.655300115,0.266200419,,,,,,,,,,,,,,,,,,,,,
2.624798275,1.263900542,,,,,,,,,,,,,,,,,,,,,
-0.226690832,0.778228872,,,,,,,,,,,,,,,,,,,,,
-0.158301088,0.329011117,,,,,,,,,,,,,,,,,,,,,
-0.040571523,0.019568913,,,,,,,,,,,,,,,,,,,,,
-0.020674842,0.28120818,,,,,,,,,,,,,,,,,,,,,
0.686868304,0.287868692,,,,,,,,,,,,,,,,,,,,,
-0.241392425,0.358412806,,,,,,,,,,,,,,,,,,,,,
-0.058722819,0.162557652,,,,,,,,,,,,,,,,,,,,,
0.230118132,0.167988113,,,,,,,,,,,,,,,,,,,,,
0.146785389,0.011018973,,,,,,,,,,,,,,,,,,,,,
0.248965934,0.131513447,,,,,,,,,,,,,,,,,,,,,
0.228684031,0.128960905,,,,,,,,,,,,,,,,,,,,,
-0.232474595,0.307414488,,,,,,,,,,,,,,,,,,,,,
0.629534162,0.256537281,,,,,,,,,,,,,,,,,,,,,
0.016572754,0.141414662,,,,,,,,,,,,,,,,,,,,,
0.073038047,0.009631491,,,,,,,,,,,,,,,,,,,,,
-0.17025384,0.104359079,,,,,,,,,,,,,,,,,,,,,
0.020355313,0.124796649,,,,,,,,,,,,,,,,,,,,,
0.261987186,0.395925974,,,,,,,,,,,,,,,,,,,,,
-0.670639694,0.27184026,,,,,,,,,,,,,,,,,,,,,
0.499823611,0.400639619,,,,,,,,,,,,,,,,,,,,,
-0.005272097,0.006046665,,,,,,,,,,,,,,,,,,,,,
-0.146977381,0.135021467,,,,,,,,,,,,,,,,,,,,,
0.372675447,0.126126576,,,,,,,,,,,,,,,,,,,,,
0.246931311,0.152390551,,,,,,,,,,,,,,,,,,,,,
0.292674738,0.11817772,,,,,,,,,,,,,,,,,,,,,
-0.300920955,0.077688739,,,,,,,,,,,,,,,,,,,,,
-0.003748505,0.015460744,,,,,,,,,,,,,,,,,,,,,
-0.350731299,0.087636821,,,,,,,,,,,,,,,,,,,,,
-0.201079268,0.162829373,,,,,,,,,,,,,,,,,,,,,
-0.0030155,0.085980857,,,,,,,,,,,,,,,,,,,,,
0.645500474,0.452018812,,,,,,,,,,,,,,,,,,,,,
-0.16267297,0.129749638,,,,,,,,,,,,,,,,,,,,,
0.001500499,0.008504231,,,,,,,,,,,,,,,,,,,,,
0.035255245,0.089264242,,,,,,,,,,,,,,,,,,,,,
0.648872361,0.180086942,,,,,,,,,,,,,,,,,,,,,
-0.594138848,0.243207634,,,,,,,,,,,,,,,,,,,,,
0.107130961,0.241598215,,,,,,,,,,,,,,,,,,,,,
0.165340613,0.153499758,,,,,,,,,,,,,,,,,,,,,
0.069496081,0.006656041,,,,,,,,,,,,,,,,,,,,,
-0.064263512,0.075583203,,,,,,,,,,,,,,,,,,,,,
