ticker,model,metric,horizon,value
BTCUSDT,Simple_KAN,R2,10,-0.02752232312283409
BTCUSDT,Simple_KAN,RMSE,10,9.311805811976331
BTCUSDT,Simple_KAN,MAE,20,4.865638090060758
BTCUSDT,Simple_KAN,Pearson r,20,0.01398705168700216
BTCUSDT,Simple_KAN,QLIKE,20,0.3986656132630678
BTCUSDT,Simple_KAN,R2,20,-0.05701824044858328
BTCUSDT,Simple_KAN,RMSE,20,9.442844170898267
EURUSD,Simple_KAN,MAE,1,0.08925607283053114
EURUSD,Simple_KAN,Pearson r,1,0.5890948407491232
EURUSD,Simple_KAN,QLIKE,1,0.3790500973215941
EURUSD,Simple_KAN,R2,1,0.3429392691744939
EURUSD,Simple_KAN,RMSE,1,0.17317754763748167
EURUSD,Simple_KAN,MAE,5,0.09860821540873702
EURUSD,Simple_KAN,Pearson r,5,0.45740035948461244
EURUSD,Simple_KAN,QLIKE,5,0.4904052601507104
EURUSD,Simple_KAN,R2,5,0.17336141691203077
EURUSD,Simple_KAN,RMSE,5,0.19240847752237725
EURUSD,Simple_KAN,MAE,10,0.09808419231237349
EURUSD,Simple_KAN,Pearson r,10,0.43241359452511513
EURUSD,Simple_KAN,QLIKE,10,0.4747201102646539
EURUSD,Simple_KAN,R2,10,0.14142237230383914
EURUSD,Simple_KAN,RMSE,10,0.1951610681503014
EURUSD,Simple_KAN,MAE,20,0.10161240180255453
EURUSD,Simple_KAN,Pearson r,20,0.3551376301892153
EURUSD,Simple_KAN,QLIKE,20,0.5255709668580271
EURUSD,Simple_KAN,R2,20,0.07049412851205117
EURUSD,Simple_KAN,RMSE,20,0.20187539906552482
GOLD,Simple_KAN,MAE,1,0.3207579807341342
GOLD,Simple_KAN,Pearson r,1,0.48206804966245437
GOLD,Simple_KAN,QLIKE,1,0.505835499238991
GOLD,Simple_KAN,R2,1,0.1901770756645168
GOLD,Simple_KAN,RMSE,1,0.5897192108963648
GOLD,Simple_KAN,MAE,5,0.38619500483781327
GOLD,Simple_KAN,Pearson r,5,0.3694843422708614
GOLD,Simple_KAN,QLIKE,5,0.6453872605615275
GOLD,Simple_KAN,R2,5,-0.004308907073366841
GOLD,Simple_KAN,RMSE,5,0.6579364767097419
GOLD,Simple_KAN,MAE,10,0.4047824234287938
GOLD,Simple_KAN,Pearson r,10,0.3587868600936159
GOLD,Simple_KAN,QLIKE,10,0.5489206905571586
GOLD,Simple_KAN,R2,10,-0.19608650919227655
GOLD,Simple_KAN,RMSE,10,0.7220501886549898
GOLD,Simple_KAN,MAE,20,0.4419894821966352
GOLD,Simple_KAN,Pearson r,20,0.2261238888899508
GOLD,Simple_KAN,QLIKE,20,0.6306419360378717
GOLD,Simple_KAN,R2,20,-0.23445290435514243
GOLD,Simple_KAN,RMSE,20,0.7390132989082387
SP500,Simple_KAN,MAE,1,0.5120581950564167
SP500,Simple_KAN,Pearson r,1,0.5622490098343996
SP500,Simple_KAN,QLIKE,1,0.6391604461872338
SP500,Simple_KAN,R2,1,0.24667061527737955
SP500,Simple_KAN,RMSE,1,2.4577385208481717
SP500,Simple_KAN,MAE,5,0.633247837561458
SP500,Simple_KAN,Pearson r,5,0.3718585460769271
SP500,Simple_KAN,QLIKE,5,0.6668402090763651
SP500,Simple_KAN,R2,5,0.08997359186519416
SP500,Simple_KAN,RMSE,5,2.7014264992883725
SP500,Simple_KAN,MAE,10,0.6614643602165494
SP500,Simple_KAN,Pearson r,10,0.278503073273482
SP500,Simple_KAN,QLIKE,10,0.7607967483538635
SP500,Simple_KAN,R2,10,0.05327080225295333
SP500,Simple_KAN,RMSE,10,2.7555509686712814
SP500,Simple_KAN,MAE,20,0.7491309823318778
SP500,Simple_KAN,Pearson r,20,0.20065569535772065
SP500,Simple_KAN,QLIKE,20,0.807648831136049
SP500,Simple_KAN,R2,20,-0.11684036079851046
SP500,Simple_KAN,RMSE,20,2.993070008091461
